  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      51	 15:44:23	  11.500	   97.10	 1026.42	   21.20	  744.66	   1.215	 -876.47	 -632.95	 -771.67	 -393.41	 -346.07	 -290.84	 -251.08	 -225.79	 -199.31	 -175.13	 -149.61	 -141.62	 -123.46	 -110.76	  -87.21	  -76.62	  -60.57	  -46.92	  -37.38	  -28.72	  -25.14	  -19.44	  -14.31	  -12.26	   -6.98	 -873.64	  -12.32	  191.39	  182.07	  141.11	  115.17	   99.11	   86.17	   76.18	   67.13	   59.96	   53.52	   47.44	   42.66	   38.46	   34.16	   30.53	   27.97	   25.72	   24.13	   22.67	   21.60	   20.36	   -6.98	  200.53	  200.95	  201.11	  200.10	  200.50	  200.52	  201.13	  201.55	  200.18	  200.65	  201.10	  200.45	  200.31	  200.18	  200.22	  200.30	  197.98	  191.07	  179.80	  163.70	  146.36	  137.31	  140.47	  152.81	  167.51	  185.98	  193.89	  198.78	  200.42	  201.07	  197.88	  201.23	  200.17	  196.05	  200.32	  200.98	  200.99	  200.22	  200.34	  201.65	  199.87	  200.30	  200.00	  198.40	  199.50	  200.91	  199.54	  186.95	    7.08	   12.76	   13.18	   12.10	   10.07	    9.44	    9.09	   10.54	    9.71	    8.39	    8.21	   13.22	   -1.25	   -0.06	   -0.08	   -0.10
      52	 15:44:31	  11.250	   97.14	 1026.46	   21.20	  745.19	   1.215	 -838.93	 -597.19	 -720.32	 -409.30	 -339.86	 -289.29	 -250.50	 -226.75	 -200.53	 -177.83	 -153.38	 -145.54	 -128.22	 -115.28	  -92.59	  -81.72	  -65.45	  -51.54	  -40.84	  -30.53	  -25.48	  -18.49	  -11.99	   -8.82	   -3.83	 -835.40	   -2.02	  191.62	  180.04	  138.91	  112.64	   96.70	   83.93	   74.15	   65.25	   58.24	   51.96	   45.96	   41.39	   37.36	   33.18	   29.81	   27.36	   25.30	   23.90	   22.72	   21.97	   21.05	   -3.83	  200.24	  200.69	  200.76	  199.70	  200.14	  200.07	  200.66	  201.13	  199.91	  200.38	  200.76	  200.17	  199.98	  199.78	  199.93	  200.49	  200.17	  197.16	  193.94	  183.66	  166.44	  148.77	  139.23	  140.44	  150.86	  171.02	  184.48	  194.65	  199.04	  200.64	  197.66	  200.95	  200.69	  194.88	  200.84	  201.53	  201.68	  200.84	  200.91	  202.19	  200.32	  200.82	  200.57	  198.81	  199.91	  201.48	  200.16	  188.30	    6.86	   12.60	   13.02	   11.99	   10.74	    9.26	    9.43	   10.67	    9.50	    8.20	    8.06	   13.12	   -1.63	   -0.04	   -0.09	   -0.17
      53	 15:44:40	  11.000	   98.26	 1026.48	   21.20	  745.76	   1.215	 -823.03	 -577.72	 -686.78	 -469.69	 -336.65	 -289.55	 -252.72	 -229.08	 -202.81	 -180.17	 -155.65	 -147.96	 -130.95	 -119.16	  -95.88	  -84.88	  -67.76	  -54.53	  -42.54	  -31.16	  -25.06	  -17.23	  -10.34	   -6.08	   -0.93	 -818.26	    8.03	  195.36	  181.18	  138.80	  112.89	   96.72	   83.88	   74.06	   65.19	   58.24	   52.00	   46.06	   41.53	   37.51	   33.48	   30.13	   27.80	   25.90	   24.64	   23.60	   22.96	   22.31	   -0.93	  202.56	  203.12	  203.25	  202.15	  202.61	  202.57	  203.18	  203.60	  202.39	  202.66	  203.10	  202.49	  202.34	  202.09	  202.37	  202.78	  202.50	  200.09	  198.16	  189.45	  171.69	  153.09	  142.40	  142.43	  151.82	  173.19	  187.96	  197.94	  201.89	  203.22	  199.94	  203.39	  202.26	  198.38	  202.30	  203.03	  203.27	  202.31	  202.37	  203.72	  201.75	  202.27	  202.13	  200.47	  201.45	  203.03	  201.69	  193.16	    6.71	   12.35	   12.76	   11.71	   10.53	    8.92	    9.00	   10.07	    9.30	    7.97	    7.81	   12.83	   -1.73	   -0.05	   -0.07	   -0.08
      54	 15:44:50	  10.750	   97.43	 1026.46	   21.20	  745.01	   1.215	 -793.08	 -526.99	 -629.25	 -566.52	 -320.13	 -281.64	 -246.06	 -223.66	 -199.14	 -177.21	 -154.10	 -146.43	 -130.58	 -119.23	  -95.88	  -84.95	  -69.03	  -55.56	  -43.01	  -31.62	  -24.80	  -16.03	   -8.48	   -3.77	    2.10	 -788.87	   19.15	  193.12	  176.92	  135.25	  109.48	   94.03	   81.31	   71.81	   63.18	   56.44	   50.44	   44.74	   40.35	   36.51	   32.70	   29.51	   27.36	   25.62	   24.51	   23.70	   23.27	   22.82	    2.10	  199.89	  200.23	  200.42	  199.65	  199.72	  199.75	  200.30	  200.79	  199.42	  199.95	  200.40	  199.76	  199.55	  199.46	  199.61	  200.25	  200.10	  197.66	  196.58	  189.54	  173.53	  155.03	  143.15	  141.56	  150.28	  170.40	  184.58	  194.84	  199.14	  200.50	  197.31	  200.54	  199.67	  195.71	  199.91	  200.64	  200.73	  199.82	  199.95	  201.27	  199.39	  199.94	  199.57	  197.90	  199.15	  200.51	  199.17	  189.48	    6.83	   12.40	   12.80	   11.77	   10.72	    9.22	    9.35	   10.21	    9.37	    8.11	    7.96	   12.88	   -1.54	   -0.04	   -0.08	   -0.09
      55	 15:45:00	  10.500	   98.46	 1026.46	   21.21	  745.17	   1.215	 -911.44	 -501.45	 -598.83	 -577.22	 -311.03	 -277.70	 -243.33	 -222.43	 -199.01	 -176.87	 -153.32	 -146.62	 -130.79	 -119.73	  -97.21	  -85.95	  -69.79	  -56.12	  -43.68	  -31.70	  -24.08	  -14.76	   -6.48	   -1.62	    5.10	 -906.79	   33.82	  195.19	  176.16	  134.44	  108.84	   92.82	   80.65	   71.32	   62.73	   56.14	   50.20	   44.53	   40.29	   36.58	   32.87	   29.80	   27.76	   26.15	   25.13	   24.47	   24.21	   23.96	    5.10	  200.80	  201.20	  201.56	  200.55	  200.80	  200.74	  201.33	  201.76	  200.43	  200.87	  201.27	  200.73	  200.56	  200.37	  200.36	  201.15	  200.92	  198.80	  198.59	  193.16	  177.36	  158.77	  146.17	  143.37	  150.80	  170.55	  185.34	  195.78	  199.96	  201.28	  198.16	  201.52	  200.68	  196.23	  200.85	  201.61	  201.71	  200.80	  200.89	  202.10	  200.30	  201.05	  200.55	  198.83	  199.94	  201.35	  200.09	  189.15	    7.28	   12.77	   13.14	   12.09	   11.12	    9.66	    9.84	   10.56	    9.73	    8.50	    8.37	   13.24	   -1.31	   -0.02	   -0.08	   -0.08
      56	 15:45:09	  10.250	   97.07	 1026.47	   21.20	  744.81	   1.215	 -885.27	 -488.09	 -570.59	 -552.17	 -301.08	 -274.97	 -241.33	 -221.31	 -198.15	 -177.07	 -153.66	 -147.27	 -131.60	 -122.37	  -98.82	  -88.01	  -71.64	  -58.29	  -45.32	  -33.00	  -25.24	  -14.92	   -6.10	   -0.52	    7.03	 -882.77	   43.09	  195.25	  173.14	  131.67	  106.22	   90.43	   78.54	   69.35	   60.93	   54.48	   48.65	   43.17	   39.04	   35.44	   31.86	   28.95	   27.02	   25.54	   24.72	   24.19	   24.15	   24.09	    7.03	  200.31	  200.73	  201.05	  200.01	  200.25	  200.20	  200.79	  201.31	  200.05	  200.38	  200.69	  200.34	  200.15	  200.00	  199.93	  200.65	  200.51	  198.68	  199.05	  195.04	  181.11	  162.40	  149.36	  144.64	  150.93	  170.54	  185.20	  195.83	  199.87	  201.00	  197.81	  201.10	  200.18	  196.16	  200.28	  201.02	  200.95	  200.18	  200.34	  201.61	  199.77	  200.37	  200.00	  198.18	  199.45	  200.85	  199.34	  191.11	    6.94	   12.39	   12.74	   11.74	   10.86	    9.43	    9.74	   10.28	    9.36	    8.15	    8.03	   12.86	   -1.24	   -0.04	   -0.08	   -0.07
      57	 15:45:18	  10.000	   96.35	 1026.46	   21.21	  744.64	   1.215	 -853.65	 -472.42	 -543.02	 -519.15	 -288.35	 -269.44	 -237.09	 -218.76	 -195.67	 -175.58	 -153.22	 -146.97	 -131.96	 -122.13	  -99.55	  -89.06	  -73.29	  -59.64	  -46.39	  -33.98	  -25.69	  -14.72	   -5.25	    0.79	    9.42	 -849.54	   52.31	  193.73	  169.77	  129.14	  103.26	   87.89	   76.25	   67.27	   59.06	   52.78	   47.11	   41.69	   37.82	   34.37	   30.96	   28.14	   26.41	   25.10	   24.42	   24.07	   24.18	   24.34	    9.42	  198.99	  199.20	  199.25	  198.65	  198.90	  198.68	  199.30	  199.88	  198.50	  198.98	  199.31	  198.68	  198.73	  198.51	  198.43	  199.26	  199.11	  197.23	  198.22	  195.26	  181.84	  162.43	  149.84	  146.76	  154.84	  174.76	  187.97	  196.30	  198.98	  199.43	  196.49	  199.80	  198.59	  194.83	  198.96	  199.71	  199.49	  198.70	  198.94	  200.19	  198.49	  199.00	  198.59	  196.99	  198.00	  199.42	  198.17	  189.99	    6.73	   12.16	   12.55	   11.51	   10.68	    9.44	    9.85	   10.14	    9.12	    7.92	    7.81	   12.66	   -1.81	   -0.04	   -0.07	   -0.08
      58	 15:45:29	   9.500	   99.21	 1026.47	   21.22	  744.91	   1.215	 -844.54	 -482.91	 -522.98	 -461.67	 -309.54	 -272.94	 -238.87	 -219.58	 -197.59	 -177.73	 -155.57	 -150.69	 -135.54	 -127.32	 -104.41	  -93.85	  -77.88	  -63.49	  -49.94	  -37.31	  -27.70	  -15.02	   -3.53	    4.73	   15.60	 -840.16	   66.44	  198.49	  169.63	  127.38	  102.01	   86.44	   74.95	   66.07	   58.09	   51.97	   46.46	   41.16	   37.60	   34.38	   31.19	   28.62	   27.15	   26.12	   25.82	   25.86	   26.37	   26.94	   15.60	  202.71	  203.27	  203.47	  202.26	  202.82	  202.77	  203.38	  203.82	  202.67	  202.75	  203.20	  202.78	  202.59	  202.30	  202.46	  202.97	  202.78	  201.24	  202.67	  202.45	  192.93	  174.36	  158.25	  150.14	  156.35	  178.32	  192.88	  200.66	  202.86	  203.38	  200.26	  203.41	  202.91	  199.30	  202.95	  203.78	  203.86	  202.97	  203.09	  204.34	  202.39	  203.13	  202.73	  201.02	  202.11	  203.70	  202.26	  191.45	    6.81	   12.30	   12.65	   11.60	   10.80	    9.93	   10.42	   10.12	    9.15	    7.94	    7.87	   12.78	   -1.64	   -0.03	   -0.08	   -0.07
      59	 15:45:40	   9.000	   96.23	 1026.49	   21.23	  745.27	   1.215	 -751.40	 -475.93	 -474.70	 -379.10	 -324.76	 -278.49	 -225.34	 -207.20	 -186.63	 -170.07	 -149.44	 -146.58	 -132.41	 -124.88	 -103.47	  -92.97	  -77.63	  -63.56	  -50.34	  -37.99	  -28.11	  -14.08	   -1.97	    7.43	   19.48	 -747.48	   82.42	  194.19	  162.10	  120.18	   95.86	   80.60	   69.97	   61.60	   54.17	   48.46	   43.33	   38.58	   35.22	   32.33	   29.41	   27.23	   26.03	   25.33	   25.32	   25.68	   26.52	   27.54	   19.48	  199.01	  199.23	  199.33	  198.42	  198.90	  198.75	  199.17	  199.84	  198.50	  198.99	  199.28	  198.84	  198.69	  198.40	  198.45	  199.29	  199.02	  197.43	  198.88	  199.96	  195.04	  180.86	  163.15	  149.58	  151.53	  171.73	  187.80	  196.62	  199.04	  199.49	  196.33	  199.52	  198.72	  195.99	  199.03	  199.72	  199.71	  198.94	  199.04	  200.35	  198.57	  198.96	  198.74	  196.99	  198.18	  199.61	  198.31	  187.37	    7.44	   12.73	   13.10	   12.08	   11.36	   10.75	   11.37	   10.84	    9.71	    8.59	    8.55	   13.22	   -1.10	   -0.05	   -0.10	   -0.13
      60	 15:45:51	   8.000	   97.80	 1026.47	   21.23	  744.93	   1.215	 -563.45	 -417.36	 -408.78	 -338.57	 -292.01	 -251.81	 -223.65	 -211.34	 -191.38	 -169.28	 -141.27	 -138.39	 -127.29	 -121.23	 -101.09	  -92.46	  -77.57	  -64.03	  -51.01	  -38.83	  -28.77	  -14.53	   -1.47	    9.38	   22.60	 -559.98	  125.11	  194.49	  151.82	  109.24	   85.98	   71.26	   61.66	   54.00	   47.24	   42.06	   37.57	   33.17	   30.34	   27.97	   25.47	   23.65	   23.00	   22.76	   23.22	   24.15	   25.54	   27.13	   22.60	  200.83	  201.31	  201.49	  200.35	  200.91	  200.78	  201.38	  201.89	  200.39	  200.93	  201.39	  200.86	  200.64	  200.41	  200.52	  201.17	  201.02	  199.43	  201.00	  202.27	  201.28	  197.01	  186.44	  165.06	  153.30	  163.88	  181.40	  196.40	  200.77	  201.54	  198.30	  201.73	  201.27	  196.73	  201.36	  202.04	  202.09	  201.39	  201.40	  202.76	  200.88	  201.41	  201.15	  199.29	  200.53	  201.94	  200.76	  191.70	    7.14	   12.09	   12.47	   11.52	   10.90	   10.55	   11.48	   10.50	    9.34	    8.25	    8.22	   12.56	   -1.72	   -0.02	   -0.09	   -0.16
      61	 15:46:04	   7.000	   97.77	 1026.43	   21.23	  744.87	   1.215	 -384.38	 -340.87	 -340.90	 -295.57	 -261.38	 -226.99	 -202.55	 -191.38	 -177.41	 -162.94	 -146.12	 -146.16	 -133.34	 -117.21	  -93.65	  -85.76	  -72.98	  -61.12	  -48.94	  -37.69	  -28.19	  -13.85	   -0.73	   10.32	   25.02	 -378.58	  157.06	  187.50	  138.51	   96.61	   75.51	   60.86	   52.65	   45.78	   39.68	   35.15	   31.26	   27.49	   25.11	   23.24	   21.21	   19.87	   19.65	   19.95	   20.91	   22.24	   24.13	   26.17	   25.02	  200.51	  200.93	  201.15	  200.17	  200.47	  200.51	  201.02	  201.57	  200.19	  200.55	  201.10	  200.53	  200.29	  200.14	  200.27	  200.87	  200.63	  198.91	  200.44	  201.67	  200.86	  199.75	  198.98	  186.85	  168.19	  158.50	  167.58	  185.52	  197.95	  201.14	  197.82	  201.34	  200.67	  195.63	  200.64	  201.52	  201.49	  200.70	  200.83	  202.12	  200.31	  200.86	  200.54	  198.76	  199.93	  201.32	  200.06	  191.69	    6.58	   11.02	   11.42	   10.51	    9.88	    9.74	   10.73	    9.41	    8.66	    7.62	    7.56	   11.36	   -2.71	   -0.02	   -0.06	   -0.10
      62	 15:46:14	   6.000	   97.43	 1026.45	   21.24	  744.64	   1.215	 -212.60	 -258.98	 -269.68	 -249.11	 -229.46	 -202.58	 -182.62	 -173.27	 -158.42	 -146.91	 -127.92	 -131.39	 -124.09	 -121.69	 -110.13	 -101.73	  -66.09	  -50.80	  -42.30	  -32.09	  -23.93	  -11.19	    1.42	   12.36	   27.49	 -208.41	  182.79	  175.22	  123.27	   82.72	   64.56	   51.10	   43.35	   37.44	   32.18	   28.50	   25.22	   22.07	   20.30	   18.89	   17.48	   16.64	   16.83	   17.64	   19.09	   20.83	   23.21	   25.71	   27.49	  200.60	  200.98	  201.27	  200.40	  200.62	  200.55	  201.08	  201.56	  200.34	  200.79	  201.18	  200.57	  200.39	  200.21	  200.32	  200.90	  200.75	  198.83	  200.52	  201.90	  201.02	  199.83	  201.02	  199.22	  189.63	  171.14	  162.19	  170.56	  185.95	  197.08	  197.57	  201.43	  200.24	  196.59	  200.34	  201.18	  201.12	  200.37	  200.51	  201.72	  200.06	  200.34	  200.18	  198.36	  199.53	  200.94	  199.65	  190.63	    8.10	   11.93	   12.36	   11.51	   10.95	   10.81	   11.76	   10.44	   10.01	    9.09	    9.01	   12.15	   -1.30	   -0.01	   -0.06	   -0.07
      63	 15:46:27	   5.000	   99.38	 1026.42	   21.24	  744.84	   1.215	  -60.37	 -169.57	 -207.37	 -207.21	 -201.55	 -181.67	 -167.17	 -160.54	 -147.50	 -137.36	 -119.66	 -122.75	 -113.73	 -109.84	  -98.68	  -99.32	  -95.75	  -70.79	  -35.50	  -26.18	  -20.23	   -9.18	    2.58	   13.53	   27.38	  -54.77	  197.18	  159.89	  104.03	   67.68	   50.73	   38.62	   32.07	   27.19	   22.85	   19.82	   17.29	   14.72	   13.56	   12.76	   11.79	   11.51	   12.25	   13.53	   15.47	   17.73	   20.63	   23.36	   27.38	  203.97	  204.64	  204.73	  203.61	  204.15	  204.09	  204.92	  205.15	  204.09	  204.20	  204.78	  204.07	  203.92	  203.61	  203.85	  204.23	  204.05	  202.59	  204.13	  205.56	  204.61	  203.67	  204.59	  204.22	  203.11	  193.18	  174.64	  168.13	  175.81	  189.52	  196.21	  203.75	  203.22	  200.18	  203.15	  204.18	  204.31	  203.28	  203.45	  204.81	  202.79	  203.56	  203.20	  201.49	  202.43	  204.05	  202.56	  192.30	    7.87	   11.18	   11.64	   10.85	   10.40	   10.38	   11.25	    9.73	    9.66	    8.80	    8.71	   11.32	   -2.12	   -0.03	   -0.06	   -0.08
      64	 15:46:39	   4.000	   98.73	 1026.46	   21.23	  744.83	   1.215	   46.03	 -115.93	 -145.23	 -165.92	 -171.65	 -159.28	 -147.99	 -144.05	 -133.97	 -125.04	 -108.69	 -111.43	 -104.01	 -100.35	  -86.47	  -88.16	  -84.08	  -82.73	  -64.05	  -20.93	  -13.65	   -5.48	    4.80	   14.31	   27.04	   55.56	  196.07	  137.13	   83.05	   50.94	   35.79	   26.36	   21.13	   17.46	   14.08	   11.92	   10.12	    8.12	    7.59	    7.38	    6.92	    7.15	    8.42	   10.11	   12.50	   15.19	   18.39	   21.31	   27.04	  202.74	  203.48	  203.65	  202.40	  203.00	  202.83	  203.64	  203.98	  202.90	  202.88	  203.67	  202.98	  202.77	  202.49	  202.79	  203.18	  202.93	  201.40	  202.94	  204.35	  203.29	  202.51	  203.50	  203.09	  203.09	  202.26	  192.07	  175.87	  169.04	  175.69	  184.23	  197.08	  201.36	  196.88	  202.29	  203.20	  203.37	  202.31	  202.52	  203.88	  201.91	  202.54	  202.25	  200.47	  201.60	  203.18	  201.70	  195.91	    8.22	   10.92	   11.40	   10.73	   10.39	   10.72	   11.22	    9.78	    9.85	    9.10	    9.01	   10.98	   -1.82	   -0.03	   -0.05	   -0.09
      65	 15:46:48	   3.000	   97.44	 1026.46	   21.24	  744.80	   1.215	  125.55	  -46.44	  -88.62	 -122.60	 -137.14	 -130.75	 -124.02	 -125.25	 -116.66	 -108.24	  -95.74	 -100.11	  -92.80	  -88.57	  -75.65	  -75.61	  -70.95	  -69.32	  -68.03	  -54.17	   -9.33	    0.42	    8.15	   16.37	   26.51	  134.07	  182.84	  106.75	   57.65	   32.61	   21.47	   13.91	   10.15	    7.71	    5.48	    4.31	    3.33	    1.93	    2.07	    2.45	    2.62	    3.42	    5.15	    7.25	   10.07	   13.10	   16.53	   19.60	   26.51	  198.36	  198.85	  198.63	  198.12	  198.41	  198.30	  198.85	  199.35	  198.11	  198.56	  198.98	  198.40	  198.23	  197.94	  198.23	  198.70	  198.51	  196.71	  198.30	  199.43	  198.69	  197.70	  198.77	  198.65	  198.47	  198.97	  196.34	  188.27	  174.13	  166.72	  168.99	  181.25	  191.94	  193.47	  198.69	  199.55	  199.60	  198.60	  198.87	  200.18	  198.51	  198.90	  198.60	  196.91	  197.98	  199.56	  198.15	  191.11	    8.80	   10.90	   11.40	   10.82	   10.55	   11.12	   11.38	   10.13	   10.16	    9.60	    9.52	   10.86	   -0.91	   -0.03	   -0.06	   -0.08
      66	 15:46:57	   2.000	   96.57	 1026.50	   21.24	  745.03	   1.215	  171.38	   11.24	  -38.26	  -84.23	 -109.14	 -108.76	 -106.56	 -109.34	 -104.06	  -96.45	  -85.03	  -91.66	  -84.42	  -81.61	  -67.06	  -66.04	  -61.63	  -59.59	  -57.49	  -58.12	  -36.61	    2.90	   12.20	   18.08	   24.76	  178.84	  156.26	   74.20	   34.36	   14.51	    7.29	    2.37	   -0.15	   -1.28	   -2.27	   -2.56	   -2.79	   -3.34	   -2.75	   -1.90	   -1.02	    0.37	    2.66	    5.16	    8.48	   11.79	   15.33	   17.98	   24.76	  197.20	  197.53	  197.25	  196.98	  197.21	  197.07	  197.57	  198.14	  196.88	  197.27	  197.81	  197.00	  197.04	  196.77	  196.97	  197.71	  197.37	  195.59	  197.20	  198.22	  197.65	  196.61	  197.55	  197.41	  197.29	  197.83	  196.39	  195.39	  188.18	  173.35	  164.25	  169.76	  180.54	  186.87	  195.53	  197.85	  197.82	  196.95	  197.18	  198.43	  196.97	  197.30	  197.02	  195.35	  196.46	  197.91	  196.45	  192.00	    9.72	   11.25	   11.76	   11.25	   11.08	   11.75	   11.90	   10.78	   10.74	   10.43	   10.37	   11.11	   -0.24	   -0.05	   -0.06	   -0.08
      67	 15:47:04	   1.000	   98.01	 1026.49	   21.24	  744.93	   1.215	  188.56	   44.38	    1.25	  -52.48	  -85.75	  -90.61	  -91.08	  -96.19	  -93.93	  -87.85	  -77.81	  -85.03	  -78.65	  -78.05	  -62.24	  -59.61	  -55.28	  -51.39	  -50.26	  -50.05	  -51.74	  -14.81	   13.95	   19.60	   21.17	  196.96	  122.09	   40.14	    8.05	   -4.39	   -8.09	  -10.71	  -11.14	  -11.07	  -10.89	  -10.21	   -9.63	   -9.40	   -8.04	   -6.50	   -4.93	   -2.84	    0.16	    3.27	    7.05	   10.49	   13.68	   15.83	   21.17	  199.40	  199.92	  200.06	  199.25	  199.53	  199.44	  199.96	  200.45	  199.24	  199.57	  200.09	  199.40	  199.29	  199.05	  199.14	  199.84	  199.70	  197.82	  199.56	  200.70	  199.88	  198.90	  199.91	  199.75	  199.68	  199.98	  198.68	  199.01	  197.45	  187.48	  172.44	  168.55	  173.75	  180.92	  192.91	  198.97	  200.53	  199.62	  199.92	  201.25	  199.51	  199.86	  199.64	  197.81	  199.13	  200.39	  198.97	  191.04	    9.49	   10.55	   11.11	   10.62	   10.56	   11.31	   11.39	   10.44	   10.18	   10.17	   10.10	   10.35	   -0.81	   -0.04	   -0.06	   -0.08
      68	 15:47:14	   0.000	   98.67	 1026.49	   21.23	  745.20	   1.215	  188.41	   88.92	   41.71	  -20.53	  -61.20	  -70.57	  -74.36	  -81.95	  -81.09	  -78.02	  -69.30	  -77.14	  -71.15	  -70.97	  -57.49	  -54.19	  -49.19	  -43.46	  -42.40	  -41.57	  -42.25	  -40.36	    4.75	   21.31	   17.92	  197.24	   63.85	   -3.40	  -22.44	  -25.28	  -24.99	  -24.21	  -22.82	  -21.15	  -19.81	  -18.10	  -16.67	  -15.71	  -13.55	  -11.29	   -9.04	   -6.28	   -2.77	    0.66	    4.34	    7.25	    9.69	   11.06	   17.92	  199.87	  200.42	  200.48	  199.66	  199.98	  199.92	  200.35	  200.80	  199.63	  200.06	  200.57	  199.84	  199.75	  199.57	  199.64	  200.29	  200.20	  198.41	  200.03	  201.46	  200.48	  199.51	  200.49	  200.31	  200.15	  200.52	  199.17	  199.67	  199.00	  194.48	  182.64	  174.67	  170.55	  173.99	  184.77	  193.90	  198.53	  199.33	  200.13	  201.38	  199.58	  199.98	  199.78	  197.98	  199.14	  200.48	  199.08	  194.23	   10.23	   10.72	   11.28	   10.94	   10.96	   11.80	   11.87	   11.05	   10.49	   10.77	   10.80	   10.48	    0.11	   -0.03	   -0.05	   -0.10
      69	 15:47:24	  -1.000	   99.26	 1026.49	   21.23	  745.03	   1.215	  171.63	  119.95	   84.24	   17.67	  -29.44	  -46.46	  -54.80	  -65.06	  -66.63	  -63.54	  -57.23	  -65.32	  -60.84	  -62.93	  -49.21	  -45.32	  -40.79	  -34.09	  -31.57	  -29.72	  -31.94	  -32.18	   -1.14	   26.73	   24.24	  179.33	  -23.34	  -63.61	  -60.52	  -54.35	  -47.74	  -43.54	  -38.78	  -35.53	  -32.70	  -30.03	  -27.77	  -26.14	  -23.14	  -20.45	  -17.72	  -14.62	  -10.93	   -7.40	   -3.75	   -0.89	    1.53	    3.01	   24.24	  200.96	  201.47	  201.74	  200.75	  201.06	  200.98	  201.53	  202.00	  200.73	  201.17	  201.60	  200.94	  200.79	  200.57	  200.68	  201.32	  201.23	  199.40	  201.05	  202.42	  201.59	  200.48	  201.55	  201.32	  201.15	  201.59	  200.29	  200.71	  200.92	  200.02	  193.97	  190.08	  180.22	  172.49	  177.74	  183.70	  190.41	  195.22	  200.63	  202.33	  200.46	  200.95	  200.73	  198.84	  200.13	  201.42	  200.15	  195.97	   10.13	    9.70	   10.31	   10.07	   10.22	   11.15	   11.09	   10.23	   10.24	   10.34	   10.63	    9.32	   -0.38	   -0.03	   -0.06	   -0.10
      70	 15:47:42	  -2.000	   99.39	 1026.49	   21.24	  745.23	   1.215	  133.51	  140.69	  112.39	   39.66	   -8.55	  -28.10	  -39.26	  -52.25	  -53.99	  -54.28	  -48.13	  -56.78	  -53.95	  -56.33	  -44.96	  -41.69	  -35.80	  -28.64	  -24.47	  -23.39	  -24.47	  -23.60	  -17.08	   13.32	   21.16	  142.14	 -113.76	 -115.95	  -91.98	  -76.04	  -64.29	  -57.21	  -50.09	  -45.24	  -41.32	  -37.52	  -34.32	  -31.89	  -28.47	  -25.31	  -22.22	  -18.99	  -15.34	  -12.07	   -8.84	   -6.22	   -3.56	    1.79	   21.16	  201.34	  201.84	  202.16	  200.89	  201.37	  201.38	  201.99	  202.37	  201.16	  201.50	  201.89	  201.37	  201.33	  201.00	  201.01	  201.39	  201.49	  199.79	  201.36	  202.94	  201.94	  200.94	  201.95	  201.60	  201.63	  201.98	  200.62	  201.06	  201.63	  201.67	  197.66	  198.59	  190.71	  178.69	  176.37	  178.88	  185.91	  191.92	  200.33	  202.65	  200.81	  201.38	  201.07	  199.21	  200.48	  202.00	  200.58	  195.27	   10.25	    9.45	   10.07	    9.87	   10.08	   11.11	   11.02	   10.71	    9.57	   10.10	   10.70	    8.99	    0.06	   -0.04	   -0.06	   -0.09
