xflr5 v6.61

Plane name :, Wind Tunnel
Polar name :, T1-17.9 m/s-VLM1-Inviscid
Freestream speed :, 17.9 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   19.500,     0.000,   1.411239,   0.121434,   0.000000,   0.121434,   0.000000,  -0.000000,  -0.356707,   0.000000,   0.000000,   17.8814,    0.0423
   20.000,     0.000,   1.441179,   0.126610,   0.000000,   0.126610,   0.000000,   0.000000,  -0.363108,   0.000000,   0.000000,   17.8814,    0.0422
   20.500,     0.000,   1.470873,   0.131845,   0.000000,   0.131845,   0.000000,   0.000000,  -0.369412,  -0.000000,  -0.000000,   17.8814,    0.0422
   21.000,     0.000,   1.500318,   0.137136,   0.000000,   0.137136,   0.000000,   0.000000,  -0.375620,   0.000000,   0.000000,   17.8814,    0.0422
   21.500,     0.000,   1.529509,   0.142479,   0.000000,   0.142479,   0.000000,   0.000000,  -0.381727,   0.000000,   0.000000,   17.8814,    0.0422
   22.000,     0.000,   1.558442,   0.147869,   0.000000,   0.147869,   0.000000,   0.000000,  -0.387733,   0.000000,   0.000000,   17.8814,    0.0422
   22.500,     0.000,   1.587114,   0.153303,   0.000000,   0.153303,   0.000000,   0.000000,  -0.393636,   0.000000,   0.000000,   17.8814,    0.0422
   23.000,     0.000,   1.615521,   0.158776,   0.000000,   0.158776,   0.000000,   0.000000,  -0.399434,  -0.000000,  -0.000000,   17.8814,    0.0422
   23.500,     0.000,   1.643659,   0.164284,   0.000000,   0.164284,   0.000000,   0.000000,  -0.405125,   0.000000,   0.000000,   17.8814,    0.0422
   24.000,     0.000,   1.671527,   0.169823,   0.000000,   0.169823,   0.000000,   0.000000,  -0.410708,  -0.000000,  -0.000000,   17.8814,    0.0422
   24.500,     0.000,   1.699119,   0.175389,   0.000000,   0.175389,   0.000000,   0.000000,  -0.416180,  -0.000000,  -0.000000,   17.8814,    0.0422
   25.000,     0.000,   1.726434,   0.180977,   0.000000,   0.180977,   0.000000,   0.000000,  -0.421540,   0.000000,   0.000000,   17.8814,    0.0423


